Timestamp,EngineID,OperatingMode,LoadPct,RPM,CoolantTempC,OilPressureKPa,VibrationMmS,FuelRateLph,AlarmCode,SensorStatus
2026-09-14 14:00,ENG-201,Steady,72,1488,86,398,2.1,184,NONE,Valid
2026-09-14 14:01,ENG-201,Steady,73,1491,86,397,2.1,185,NONE,Valid
2026-09-14 14:02,ENG-201,Steady,73,1490,87,396,2.2,185,NONE,Valid
2026-09-14 14:03,ENG-201,Steady,74,1493,87,395,2.2,186,NONE,Valid
2026-09-14 14:04,ENG-201,Steady,74,1492,87,394,2.3,186,NONE,Valid
2026-09-14 14:05,ENG-201,Steady,75,1495,88,393,2.3,187,NONE,Valid
2026-09-14 14:06,ENG-201,Steady,75,1494,88,392,2.4,187,NONE,Valid
2026-09-14 14:07,ENG-201,Steady,75,1496,88,391,2.4,188,NONE,Valid
2026-09-14 14:08,ENG-201,Incident,75,1495,93,365,5.8,189,WARN_VIB,Valid
2026-09-14 14:09,ENG-201,Incident,76,1497,96,342,6.7,190,WARN_VIB,Valid
2026-09-14 14:10,ENG-201,Incident,75,1496,99,320,7.6,190,ALARM_VIB_HIGH,Valid
2026-09-14 14:11,ENG-201,Incident,75,1494,102,,8.7,189,ALARM_SENSOR_GAP,Missing
2026-09-14 14:12,ENG-201,Incident,74,1492,104,292,8.2,188,ALARM_TEMP_HIGH,Valid
2026-09-14 14:13,ENG-201,Recovery,72,1489,99,315,6.4,184,WARN_RECOVERY,Valid
2026-09-14 14:14,ENG-201,Recovery,70,1485,94,348,4.5,180,WARN_RECOVERY,Valid
2026-09-14 14:15,ENG-201,Recovery,68,1480,90,376,3.1,176,NONE,Valid
